Employee_ID,Date,Teams_Messages_Sent,Emails_Sent,Meetings_Attended,Work_Hours
EMP0048,1/1/2023,33,8,9,6.69
EMP0207,1/2/2023,21,29,2,5.42
EMP0112,1/3/2023,21,1,3,9.21
EMP0309,1/4/2023,14,13,6,7.78
EMP0142,1/5/2023,18,3,0,5.8
EMP0070,1/6/2023,16,9,8,4.22
EMP0215,1/7/2023,33,25,8,6.1
EMP0214,1/8/2023,12,24,6,9.23
EMP0269,1/9/2023,30,28,6,9.55
EMP0041,1/10/2023,26,3,2,4.61
EMP0464,1/11/2023,44,4,2,7.28
EMP0226,1/12/2023,41,2,3,7.24
EMP0358,1/13/2023,25,19,9,8.45
EMP0109,1/14/2023,21,2,0,7.29
EMP0252,1/15/2023,32,1,4,6.6
EMP0026,1/16/2023,26,16,8,7.55
EMP0174,1/17/2023,35,5,7,4.34
EMP0011,1/18/2023,13,14,2,7.68
EMP0081,1/19/2023,8,0,1,5.12
EMP0500,1/20/2023,37,27,9,8.4
EMP0342,1/21/2023,21,29,1,8.95
EMP0467,1/22/2023,22,9,6,9.58
EMP0338,1/23/2023,37,18,0,8.08
EMP0177,1/24/2023,39,17,3,4.84
EMP0442,1/25/2023,3,26,7,7.2
EMP0333,1/26/2023,15,20,2,5.83
EMP0380,1/27/2023,46,18,9,5.33
EMP0359,1/28/2023,13,27,4,5.11
EMP0094,1/29/2023,40,28,8,8.58
EMP0190,1/30/2023,44,15,8,9.14
EMP0292,1/31/2023,31,2,6,7.08
EMP0080,2/1/2023,18,1,4,7.08
EMP0472,2/2/2023,48,10,0,7.32
EMP0035,2/3/2023,18,7,4,9.99
EMP0202,2/4/2023,29,18,3,4.6
EMP0461,2/5/2023,23,4,9,4.16
EMP0207,2/6/2023,0,9,6,7.37
EMP0430,2/7/2023,30,25,2,6.25
EMP0358,2/8/2023,2,20,4,9.49
EMP0081,2/9/2023,28,7,6,5.17
EMP0267,2/10/2023,22,3,4,9.31
EMP0331,2/11/2023,10,18,6,8.88
EMP0366,2/12/2023,24,15,2,7.36
EMP0062,2/13/2023,23,15,0,8.93
EMP0014,2/14/2023,39,29,2,9.59
EMP0126,2/15/2023,28,27,6,4.75
EMP0477,2/16/2023,21,14,5,8.95
EMP0069,2/17/2023,25,29,9,5.92
EMP0217,2/18/2023,3,7,7,6.64
EMP0192,2/19/2023,42,4,3,4.5
EMP0432,2/20/2023,35,4,8,4.02
EMP0097,2/21/2023,17,14,9,8.56
EMP0112,2/22/2023,12,5,2,9.5
EMP0271,2/23/2023,37,8,6,6.76
EMP0491,2/24/2023,18,22,8,8.04
EMP0302,2/25/2023,0,17,9,9.1
EMP0108,2/26/2023,48,23,9,9.58
EMP0484,2/27/2023,38,20,9,7.87
EMP0134,2/28/2023,30,25,6,5.55
EMP0342,3/1/2023,43,4,0,9.98
EMP0082,3/2/2023,29,6,9,4.07
EMP0303,3/3/2023,4,15,8,8.37
EMP0132,3/4/2023,6,12,7,6.69
EMP0377,3/5/2023,16,29,4,6.3
EMP0127,3/6/2023,11,27,7,4.63
EMP0372,3/7/2023,25,17,7,8.56
EMP0468,3/8/2023,12,19,2,5.72
EMP0445,3/9/2023,11,5,3,7.06
EMP0489,3/10/2023,23,28,6,7.18
EMP0221,3/11/2023,48,1,2,4.42
EMP0142,3/12/2023,41,0,7,7.17
EMP0435,3/13/2023,47,16,2,4.61
EMP0122,3/14/2023,17,26,9,9.03
EMP0210,3/15/2023,5,0,2,7.13
EMP0151,3/16/2023,32,2,1,7.9
EMP0304,3/17/2023,9,13,0,6.35
EMP0334,3/18/2023,8,29,3,7.56
EMP0396,3/19/2023,8,22,4,4.06
EMP0472,3/20/2023,21,26,1,9.68
EMP0182,3/21/2023,32,28,1,6.44
EMP0223,3/22/2023,30,21,9,9.62
EMP0058,3/23/2023,45,13,8,5.32
EMP0180,3/24/2023,17,3,5,6.56
EMP0424,3/25/2023,43,17,8,4.69
EMP0020,3/26/2023,18,10,6,4.92
EMP0101,3/27/2023,33,9,5,8.58
EMP0339,3/28/2023,25,3,3,8.75
EMP0050,3/29/2023,27,12,0,8.28
EMP0453,3/30/2023,35,20,9,9.1
EMP0228,3/31/2023,21,19,2,9.65
EMP0076,4/1/2023,4,25,4,8.86
EMP0229,4/2/2023,2,13,8,4.03
EMP0043,4/3/2023,45,8,6,9.24
EMP0477,4/4/2023,40,14,0,8.31
EMP0286,4/5/2023,11,28,8,8.24
EMP0338,4/6/2023,3,17,4,7.26
EMP0250,4/7/2023,44,1,0,9.43
EMP0252,4/8/2023,43,27,7,8.08
EMP0249,4/9/2023,42,9,6,8.02
EMP0141,4/10/2023,0,16,4,4.17
EMP0229,4/11/2023,12,15,4,4.02
EMP0168,4/12/2023,32,18,0,5.4
EMP0500,4/13/2023,39,3,4,9.53
EMP0399,4/14/2023,18,7,8,5.67
EMP0149,4/15/2023,32,28,2,6.11
EMP0044,4/16/2023,1,1,0,7.46
EMP0020,4/17/2023,18,19,1,9.16
EMP0300,4/18/2023,10,27,2,8.09
EMP0105,4/19/2023,32,6,8,8.33
EMP0070,4/20/2023,48,23,0,6.23
EMP0478,4/21/2023,15,6,8,7.97
EMP0487,4/22/2023,27,11,0,5.45
EMP0141,4/23/2023,23,10,3,6.09
EMP0102,4/24/2023,32,10,8,4.64
EMP0207,4/25/2023,43,28,1,7
EMP0148,4/26/2023,38,4,1,4.56
EMP0466,4/27/2023,40,9,1,7.74
EMP0051,4/28/2023,7,6,4,7.66
EMP0071,4/29/2023,42,26,1,7.46
EMP0109,4/30/2023,14,21,1,7.56
EMP0428,5/1/2023,35,10,5,5.3
EMP0323,5/2/2023,5,25,5,8.26
EMP0384,5/3/2023,45,20,8,4.01
EMP0388,5/4/2023,18,14,4,8.69
EMP0319,5/5/2023,22,15,1,6.64
EMP0436,5/6/2023,33,3,0,8.87
EMP0184,5/7/2023,6,18,8,4.01
EMP0356,5/8/2023,4,4,4,5.79
EMP0373,5/9/2023,36,3,2,5.21
EMP0363,5/10/2023,25,0,1,8.37
EMP0166,5/11/2023,13,23,4,5.86
EMP0205,5/12/2023,9,29,5,5.35
EMP0112,5/13/2023,20,3,5,6.12
EMP0054,5/14/2023,32,22,5,5.43
EMP0265,5/15/2023,26,28,0,7.14
EMP0346,5/16/2023,13,29,0,8.82
EMP0173,5/17/2023,20,5,5,8.29
EMP0118,5/18/2023,9,24,7,4.94
EMP0260,5/19/2023,26,7,9,9.09
EMP0384,5/20/2023,47,13,9,4.15
EMP0272,5/21/2023,5,8,8,9.91
EMP0187,5/22/2023,32,22,8,9.14
EMP0270,5/23/2023,2,17,7,9.46
EMP0242,5/24/2023,12,3,0,8.64
EMP0203,5/25/2023,21,27,7,4.75
EMP0121,5/26/2023,23,15,5,8.87
EMP0355,5/27/2023,42,29,3,6.43
EMP0058,5/28/2023,27,10,5,5.53
EMP0146,5/29/2023,33,27,9,7.62
EMP0342,5/30/2023,24,4,5,5.94
EMP0424,5/31/2023,1,10,1,9.78
EMP0229,6/1/2023,0,27,8,6.44
EMP0392,6/2/2023,19,16,0,6.19
EMP0026,6/3/2023,26,29,9,5.81
EMP0478,6/4/2023,2,23,2,5.14
EMP0111,6/5/2023,13,9,0,8.21
EMP0403,6/6/2023,24,25,2,7.63
EMP0248,6/7/2023,45,0,2,6.26
EMP0068,6/8/2023,27,8,7,6.09
EMP0424,6/9/2023,12,28,5,9.5
EMP0445,6/10/2023,45,29,0,4.33
EMP0251,6/11/2023,22,26,7,4.1
EMP0090,6/12/2023,18,29,0,8.27
EMP0301,6/13/2023,0,8,6,5.64
EMP0140,6/14/2023,10,22,2,9.07
EMP0021,6/15/2023,42,8,5,4.43
EMP0084,6/16/2023,34,13,2,7.95
EMP0116,6/17/2023,31,6,8,8.87
EMP0111,6/18/2023,14,7,9,5.47
EMP0251,6/19/2023,47,28,0,7.18
EMP0142,6/20/2023,40,28,1,9.21
EMP0122,6/21/2023,6,13,6,4.74
EMP0229,6/22/2023,24,17,6,9
EMP0076,6/23/2023,49,10,2,6.28
EMP0312,6/24/2023,43,5,6,7.02
EMP0380,6/25/2023,37,7,7,7.99
EMP0304,6/26/2023,6,23,1,9.91
EMP0348,6/27/2023,43,5,5,6.44
EMP0447,6/28/2023,30,1,2,8.4
EMP0333,6/29/2023,37,3,2,8.44
EMP0397,6/30/2023,41,2,0,7.1
EMP0106,7/1/2023,30,16,8,7.36
EMP0222,7/2/2023,12,23,8,9.17
EMP0053,7/3/2023,18,7,2,5.79
EMP0416,7/4/2023,31,25,7,4.99
EMP0290,7/5/2023,25,18,4,8.69
EMP0316,7/6/2023,32,17,3,4.54
EMP0471,7/7/2023,27,19,6,5.14
EMP0458,7/8/2023,26,0,4,9.08
EMP0060,7/9/2023,10,11,1,7.26
EMP0276,7/10/2023,10,17,8,7.35
EMP0447,7/11/2023,26,20,5,6.67
EMP0350,7/12/2023,4,16,7,7.14
EMP0006,7/13/2023,46,17,5,5.5
EMP0428,7/14/2023,35,24,1,5.1
EMP0469,7/15/2023,12,23,0,7.12
EMP0190,7/16/2023,24,0,3,7.49
EMP0165,7/17/2023,37,15,5,4.56
EMP0251,7/18/2023,11,13,8,8.29
EMP0210,7/19/2023,19,28,1,5.33
EMP0295,7/20/2023,15,13,4,8.86
EMP0202,7/21/2023,25,8,1,5.64
EMP0400,7/22/2023,16,12,3,6.92
EMP0219,7/23/2023,21,28,3,9.72
EMP0369,7/24/2023,5,19,6,8.82
EMP0238,7/25/2023,23,14,1,5.52
EMP0184,7/26/2023,26,21,6,5.12
EMP0103,7/27/2023,31,4,5,6.82
EMP0089,7/28/2023,24,23,8,8.31
EMP0285,7/29/2023,13,15,5,5.18
EMP0172,7/30/2023,28,17,5,8.82
EMP0058,7/31/2023,33,9,2,8.65
EMP0081,8/1/2023,36,22,7,5
EMP0150,8/2/2023,38,27,8,8.19
EMP0428,8/3/2023,48,7,5,4.48
EMP0438,8/4/2023,35,17,7,8.45
EMP0119,8/5/2023,16,20,6,8.52
EMP0119,8/6/2023,22,28,1,8.23
EMP0458,8/7/2023,49,11,7,9.81
EMP0140,8/8/2023,18,5,8,8.89
EMP0341,8/9/2023,11,0,0,6.32
EMP0233,8/10/2023,38,7,3,6.68
EMP0380,8/11/2023,19,4,6,8.59
EMP0326,8/12/2023,27,7,1,8.27
EMP0040,8/13/2023,47,18,0,8.42
EMP0279,8/14/2023,5,25,8,6.25
EMP0005,8/15/2023,11,4,5,9.95
EMP0065,8/16/2023,40,19,1,9.25
EMP0377,8/17/2023,3,20,8,6.9
EMP0433,8/18/2023,20,24,9,9.83
EMP0365,8/19/2023,45,16,5,6.35
EMP0029,8/20/2023,37,29,3,8.19
EMP0482,8/21/2023,22,4,1,8.52
EMP0048,8/22/2023,30,8,0,8.7
EMP0026,8/23/2023,4,24,2,9.3
EMP0110,8/24/2023,29,17,3,6.67
EMP0490,8/25/2023,23,20,2,5.49
EMP0088,8/26/2023,49,19,6,6.81
EMP0221,8/27/2023,0,5,2,9.99
EMP0263,8/28/2023,41,28,0,5.25
EMP0041,8/29/2023,1,26,5,9.1
EMP0005,8/30/2023,16,28,7,4.8
EMP0137,8/31/2023,13,0,2,4.68
EMP0065,9/1/2023,36,18,0,5.41
EMP0292,9/2/2023,48,13,7,8.19
EMP0248,9/3/2023,42,25,9,8.87
EMP0342,9/4/2023,30,18,2,5.38
EMP0401,9/5/2023,31,9,2,9.24
EMP0221,9/6/2023,14,20,0,8.43
EMP0073,9/7/2023,35,1,7,6.63
EMP0091,9/8/2023,19,26,2,6.91
EMP0339,9/9/2023,46,25,5,9.18
EMP0073,9/10/2023,30,10,8,5.45
EMP0435,9/11/2023,16,14,3,4.08
EMP0165,9/12/2023,9,25,5,9.56
EMP0410,9/13/2023,34,18,4,4.47
EMP0032,9/14/2023,38,7,7,4.78
EMP0115,9/15/2023,7,8,6,7.72
EMP0463,9/16/2023,7,10,5,6.87
EMP0221,9/17/2023,32,25,4,6.92
EMP0081,9/18/2023,44,3,2,7.63
EMP0191,9/19/2023,17,24,1,8.85
EMP0133,9/20/2023,45,26,2,7.06
EMP0103,9/21/2023,46,22,0,5.37
EMP0179,9/22/2023,1,5,8,9.98
EMP0378,9/23/2023,11,7,1,9.29
EMP0070,9/24/2023,12,19,5,6.48
EMP0181,9/25/2023,4,19,4,9.65
EMP0097,9/26/2023,23,0,2,6.77
EMP0327,9/27/2023,15,22,2,7.31
EMP0477,9/28/2023,12,9,7,4.7
EMP0242,9/29/2023,11,20,5,5.43
EMP0172,9/30/2023,21,18,7,6.04
EMP0014,10/1/2023,30,20,7,4.94
EMP0425,10/2/2023,28,2,0,4.47
EMP0253,10/3/2023,15,18,0,9.06
EMP0316,10/4/2023,17,25,0,8.29
EMP0466,10/5/2023,36,13,9,4.36
EMP0449,10/6/2023,22,26,2,6.84
EMP0358,10/7/2023,43,11,7,7.2
EMP0399,10/8/2023,6,4,9,7.92
EMP0335,10/9/2023,25,15,2,4.28
EMP0293,10/10/2023,31,27,7,6.05
EMP0041,10/11/2023,39,27,0,6.95
EMP0009,10/12/2023,44,24,0,9.06
EMP0436,10/13/2023,23,22,1,5.42
EMP0312,10/14/2023,32,16,2,4.97
EMP0163,10/15/2023,29,29,8,4.43
EMP0053,10/16/2023,41,20,1,8.72
EMP0226,10/17/2023,26,26,5,7.63
EMP0224,10/18/2023,48,26,8,5.88
EMP0017,10/19/2023,22,17,7,9.56
EMP0211,10/20/2023,35,11,9,6.42
EMP0468,10/21/2023,2,25,1,8.33
EMP0152,10/22/2023,40,9,7,6.65
EMP0033,10/23/2023,14,6,0,6.25
EMP0256,10/24/2023,3,6,3,4.78
EMP0192,10/25/2023,33,20,3,6.51
EMP0306,10/26/2023,23,8,4,8.59
EMP0484,10/27/2023,29,6,0,5.79
EMP0097,10/28/2023,43,18,8,9.66
EMP0308,10/29/2023,2,15,0,8.13
EMP0433,10/30/2023,29,2,7,7.09
EMP0334,10/31/2023,33,29,1,8.99
EMP0493,11/1/2023,33,1,4,6.6
EMP0137,11/2/2023,38,2,2,9.98
EMP0098,11/3/2023,0,29,2,4.89
EMP0072,11/4/2023,39,26,2,6.09
EMP0091,11/5/2023,45,23,5,6.37
EMP0077,11/6/2023,11,6,4,9
EMP0378,11/7/2023,26,10,0,9.66
EMP0231,11/8/2023,27,14,1,7.73
EMP0392,11/9/2023,30,12,4,7.51
EMP0434,11/10/2023,23,12,4,8.69
EMP0219,11/11/2023,37,7,9,8.99
EMP0184,11/12/2023,44,18,0,6.92
EMP0214,11/13/2023,30,24,6,5.27
EMP0068,11/14/2023,14,27,7,4.16
EMP0010,11/15/2023,34,16,3,9.91
EMP0140,11/16/2023,9,20,9,6.43
EMP0258,11/17/2023,11,16,1,6.66
EMP0468,11/18/2023,25,2,4,8.36
EMP0230,11/19/2023,35,25,4,4.85
EMP0412,11/20/2023,34,23,6,8.15
EMP0478,11/21/2023,30,21,5,8.16
EMP0136,11/22/2023,7,5,8,4.98
EMP0182,11/23/2023,44,21,4,6.13
EMP0301,11/24/2023,27,7,7,9.37
EMP0127,11/25/2023,32,5,2,7.3
EMP0130,11/26/2023,35,5,1,7.91
EMP0077,11/27/2023,30,20,7,9.94
EMP0409,11/28/2023,12,6,0,6.97
EMP0056,11/29/2023,3,23,8,5.06
EMP0225,11/30/2023,16,6,1,5.75
EMP0084,12/1/2023,12,27,8,8.47
EMP0071,12/2/2023,22,13,9,4.77
EMP0201,12/3/2023,9,28,3,4.93
EMP0436,12/4/2023,15,18,1,7.83
EMP0272,12/5/2023,33,9,0,7.14
EMP0327,12/6/2023,37,20,4,6.23
EMP0003,12/7/2023,16,28,2,4.09
EMP0066,12/8/2023,29,28,8,8.37
EMP0479,12/9/2023,34,11,0,5.04
EMP0194,12/10/2023,48,16,8,5.01
EMP0341,12/11/2023,27,8,2,4.94
EMP0197,12/12/2023,40,21,5,8.16
EMP0283,12/13/2023,37,23,4,9.8
EMP0296,12/14/2023,34,24,9,8.78
EMP0256,12/15/2023,36,12,6,8.28
EMP0181,12/16/2023,1,7,8,5.67
EMP0359,12/17/2023,39,19,8,9.06
EMP0306,12/18/2023,24,2,7,7.87
EMP0079,12/19/2023,39,20,6,7.14
EMP0031,12/20/2023,39,6,2,5.88
EMP0058,12/21/2023,8,5,9,5.1
EMP0104,12/22/2023,13,26,9,7.03
EMP0122,12/23/2023,47,8,4,4.5
EMP0481,12/24/2023,8,29,5,4.9
EMP0485,12/25/2023,45,6,3,9.46
EMP0345,12/26/2023,17,14,8,9.72
EMP0141,12/27/2023,0,21,0,6.12
EMP0408,12/28/2023,18,13,5,5.86
EMP0315,12/29/2023,2,9,8,9.8
EMP0279,12/30/2023,24,4,0,5.54
EMP0138,12/31/2023,48,7,6,6.1
EMP0473,1/1/2024,41,26,7,7.65
EMP0219,1/2/2024,32,7,1,4.08
EMP0353,1/3/2024,33,1,0,7.29
EMP0354,1/4/2024,25,5,2,6.51
EMP0424,1/5/2024,25,23,1,7.93
EMP0330,1/6/2024,37,23,2,8.53
EMP0125,1/7/2024,34,11,1,6.95
EMP0137,1/8/2024,0,8,1,7.81
EMP0042,1/9/2024,35,21,9,6.91
EMP0126,1/10/2024,47,2,3,4.29
EMP0013,1/11/2024,34,29,9,4
EMP0411,1/12/2024,18,2,0,4.04
EMP0276,1/13/2024,37,23,0,5.53
EMP0443,1/14/2024,14,23,2,9.15
EMP0297,1/15/2024,24,19,2,9.95
EMP0148,1/16/2024,6,26,5,9.08
EMP0168,1/17/2024,36,8,0,6.78
EMP0189,1/18/2024,5,16,7,9.96
EMP0440,1/19/2024,42,22,1,9.03
EMP0022,1/20/2024,9,22,1,9.92
EMP0131,1/21/2024,32,0,3,8.52
EMP0279,1/22/2024,46,3,5,6.2
EMP0159,1/23/2024,5,2,7,6.92
EMP0076,1/24/2024,34,24,4,6
EMP0419,1/25/2024,17,17,2,7.12
EMP0030,1/26/2024,10,15,2,6.91
EMP0010,1/27/2024,8,27,2,8.81
EMP0002,1/28/2024,37,7,6,7.05
EMP0006,1/29/2024,49,17,6,6.89
EMP0088,1/30/2024,26,7,1,9.65
EMP0468,1/31/2024,30,22,2,8.32
EMP0191,2/1/2024,29,20,1,5.42
EMP0012,2/2/2024,12,11,7,9.24
EMP0028,2/3/2024,15,15,6,5.67
EMP0178,2/4/2024,13,21,8,6.79
EMP0288,2/5/2024,19,14,7,7.4
EMP0027,2/6/2024,36,16,6,4.94
EMP0169,2/7/2024,4,4,6,9.97
EMP0362,2/8/2024,36,20,9,8.69
EMP0187,2/9/2024,29,26,3,5.97
EMP0262,2/10/2024,8,11,2,5.45
EMP0387,2/11/2024,44,0,0,9.25
EMP0478,2/12/2024,21,0,6,5.26
EMP0030,2/13/2024,24,3,7,9.89
EMP0470,2/14/2024,20,4,2,8.88
EMP0289,2/15/2024,12,11,2,5.66
EMP0310,2/16/2024,0,22,4,5.39
EMP0399,2/17/2024,13,11,2,8.67
EMP0457,2/18/2024,8,22,3,4.28
EMP0081,2/19/2024,38,18,5,5.31
EMP0014,2/20/2024,4,9,1,5.45
EMP0365,2/21/2024,37,27,6,8.7
EMP0151,2/22/2024,7,11,3,7.12
EMP0325,2/23/2024,24,22,8,4.84
EMP0088,2/24/2024,0,28,8,6.9
EMP0009,2/25/2024,0,26,2,7.22
EMP0163,2/26/2024,46,7,0,6.06
EMP0083,2/27/2024,16,10,9,6.96
EMP0137,2/28/2024,48,11,5,7.51
EMP0098,2/29/2024,47,19,5,6.38
EMP0321,3/1/2024,5,7,7,8.01
EMP0253,3/2/2024,31,16,2,4.9
EMP0347,3/3/2024,9,22,9,7.07
EMP0057,3/4/2024,38,25,3,7.8
EMP0362,3/5/2024,32,9,5,9.15
EMP0459,3/6/2024,17,9,3,9.02
EMP0237,3/7/2024,28,23,1,8.84
EMP0327,3/8/2024,44,20,9,7.94
EMP0342,3/9/2024,24,19,0,9.37
EMP0160,3/10/2024,37,3,8,8.57
EMP0246,3/11/2024,8,17,2,8.99
EMP0420,3/12/2024,19,4,8,9.79
EMP0422,3/13/2024,14,14,6,6.07
EMP0229,3/14/2024,27,6,0,8.26
EMP0285,3/15/2024,9,10,9,5.37
EMP0471,3/16/2024,7,8,1,8.65
EMP0095,3/17/2024,34,24,1,7.47
EMP0235,3/18/2024,2,25,0,5.21
EMP0011,3/19/2024,7,20,2,9.05
EMP0319,3/20/2024,26,13,3,8.28
EMP0276,3/21/2024,45,15,5,9.61
EMP0225,3/22/2024,49,22,2,7.14
EMP0260,3/23/2024,38,19,0,6.44
EMP0392,3/24/2024,22,21,1,6.68
EMP0337,3/25/2024,6,2,5,9.23
EMP0409,3/26/2024,10,26,6,5.42
EMP0445,3/27/2024,33,3,3,6.01
EMP0298,3/28/2024,21,10,2,5.8
EMP0319,3/29/2024,41,0,3,7.83
EMP0032,3/30/2024,2,6,0,8.46
EMP0340,3/31/2024,47,13,0,4.45
EMP0102,4/1/2024,17,9,6,5.15
EMP0477,4/2/2024,39,25,0,6.43
EMP0023,4/3/2024,13,5,6,4.92
EMP0064,4/4/2024,46,9,3,4.4
EMP0499,4/5/2024,35,6,5,5.51
EMP0411,4/6/2024,37,27,1,7.51
EMP0094,4/7/2024,23,20,0,7.57
EMP0411,4/8/2024,31,3,7,7.44
EMP0019,4/9/2024,16,23,4,7.25
EMP0140,4/10/2024,0,22,7,9.02
EMP0371,4/11/2024,0,1,4,4.28
EMP0390,4/12/2024,41,13,3,4.88
EMP0034,4/13/2024,3,15,6,5.31
EMP0365,4/14/2024,25,8,7,8.4
EMP0291,4/15/2024,21,20,8,8.71
EMP0184,4/16/2024,1,24,1,8.5
EMP0369,4/17/2024,32,20,9,8.3
EMP0238,4/18/2024,12,9,7,4.54
EMP0155,4/19/2024,24,1,6,5.47
EMP0285,4/20/2024,37,15,1,5.09
EMP0386,4/21/2024,9,8,6,4.67
EMP0135,4/22/2024,49,9,5,5.86
EMP0495,4/23/2024,5,16,0,5.21
EMP0094,4/24/2024,26,19,4,5.77
EMP0121,4/25/2024,31,9,5,5.55
EMP0226,4/26/2024,10,27,6,5.39
EMP0407,4/27/2024,30,23,1,9.15
EMP0315,4/28/2024,38,10,5,7.87
EMP0324,4/29/2024,33,27,3,5.7
EMP0043,4/30/2024,8,3,3,4.29
EMP0222,5/1/2024,28,28,1,5.52
EMP0125,5/2/2024,3,1,5,8.68
EMP0228,5/3/2024,20,25,0,9.05
EMP0305,5/4/2024,6,9,0,5.27
EMP0383,5/5/2024,39,12,7,9.71
EMP0277,5/6/2024,27,26,6,7.31
EMP0002,5/7/2024,38,8,9,5.45
EMP0050,5/8/2024,15,26,6,7.55
EMP0131,5/9/2024,37,18,4,5.83
EMP0428,5/10/2024,22,18,9,6.18
EMP0076,5/11/2024,49,4,1,8.39
EMP0447,5/12/2024,13,7,4,4.95
EMP0057,5/13/2024,47,23,2,5.35
EMP0418,5/14/2024,4,25,0,8.76
