Employee_ID,Joining_Date,Onboarding_Feedback,Mentor_Assigned,Initial_Training_Completed
EMP0125,2023-01-01,Good,False,True
EMP0491,2023-01-02,Average,False,False
EMP0310,2023-01-03,Average,True,True
EMP0172,2023-01-04,Good,False,False
EMP0262,2023-01-05,Excellent,True,True
EMP0269,2023-01-06,Average,False,False
EMP0355,2023-01-07,Excellent,False,False
EMP0061,2023-01-08,Good,True,False
EMP0229,2023-01-09,Poor,True,True
EMP0388,2023-01-10,Good,True,False
EMP0004,2023-01-11,Poor,True,True
EMP0158,2023-01-12,Excellent,True,False
EMP0407,2023-01-13,Poor,True,False
EMP0039,2023-01-14,Poor,True,False
EMP0445,2023-01-15,Good,True,False
EMP0383,2023-01-16,Poor,False,True
EMP0235,2023-01-17,Good,False,True
EMP0260,2023-01-18,Average,False,False
EMP0192,2023-01-19,Average,True,False
EMP0014,2023-01-20,Average,False,True
EMP0340,2023-01-21,Poor,True,True
EMP0303,2023-01-22,Poor,True,True
EMP0452,2023-01-23,Excellent,False,False
EMP0475,2023-01-24,Average,False,False
EMP0417,2023-01-25,Average,False,False
EMP0447,2023-01-26,Excellent,True,True
EMP0340,2023-01-27,Excellent,False,False
EMP0149,2023-01-28,Poor,False,True
EMP0262,2023-01-29,Poor,False,False
EMP0036,2023-01-30,Poor,False,False
EMP0314,2023-01-31,Excellent,False,True
EMP0181,2023-02-01,Poor,True,False
EMP0320,2023-02-02,Good,False,True
EMP0218,2023-02-03,Excellent,True,True
EMP0300,2023-02-04,Average,True,False
EMP0228,2023-02-05,Good,False,False
EMP0038,2023-02-06,Average,True,False
EMP0292,2023-02-07,Good,False,False
EMP0353,2023-02-08,Poor,True,False
EMP0429,2023-02-09,Good,True,True
EMP0040,2023-02-10,Good,True,True
EMP0360,2023-02-11,Excellent,False,True
EMP0174,2023-02-12,Good,True,True
EMP0018,2023-02-13,Good,False,False
EMP0043,2023-02-14,Good,True,False
EMP0199,2023-02-15,Average,False,True
EMP0155,2023-02-16,Good,True,False
EMP0365,2023-02-17,Average,False,False
EMP0432,2023-02-18,Average,False,False
EMP0198,2023-02-19,Poor,True,False
EMP0203,2023-02-20,Average,True,True
EMP0318,2023-02-21,Poor,True,True
EMP0093,2023-02-22,Poor,False,False
EMP0383,2023-02-23,Good,False,False
EMP0373,2023-02-24,Good,True,False
EMP0039,2023-02-25,Poor,True,False
EMP0348,2023-02-26,Excellent,True,True
EMP0036,2023-02-27,Poor,True,False
EMP0164,2023-02-28,Excellent,False,False
EMP0398,2023-03-01,Excellent,False,False
EMP0285,2023-03-02,Excellent,True,True
EMP0213,2023-03-03,Poor,False,False
EMP0253,2023-03-04,Good,False,False
EMP0469,2023-03-05,Average,True,True
EMP0141,2023-03-06,Poor,True,True
EMP0012,2023-03-07,Good,True,False
EMP0476,2023-03-08,Average,False,False
EMP0027,2023-03-09,Good,True,False
EMP0414,2023-03-10,Excellent,False,False
EMP0460,2023-03-11,Poor,True,False
EMP0046,2023-03-12,Excellent,True,False
EMP0226,2023-03-13,Excellent,True,True
EMP0086,2023-03-14,Good,False,True
EMP0433,2023-03-15,Excellent,False,True
EMP0183,2023-03-16,Good,True,False
EMP0338,2023-03-17,Good,True,True
EMP0034,2023-03-18,Poor,False,False
EMP0030,2023-03-19,Poor,False,False
EMP0445,2023-03-20,Excellent,False,True
EMP0382,2023-03-21,Poor,True,False
EMP0249,2023-03-22,Good,True,True
EMP0366,2023-03-23,Average,True,True
EMP0470,2023-03-24,Poor,False,True
EMP0209,2023-03-25,Poor,False,False
EMP0217,2023-03-26,Poor,False,True
EMP0109,2023-03-27,Average,False,True
EMP0068,2023-03-28,Average,True,True
EMP0291,2023-03-29,Good,True,True
EMP0287,2023-03-30,Excellent,True,True
EMP0404,2023-03-31,Poor,False,True
EMP0093,2023-04-01,Good,False,False
EMP0245,2023-04-02,Excellent,False,False
EMP0324,2023-04-03,Excellent,True,True
EMP0312,2023-04-04,Excellent,False,False
EMP0057,2023-04-05,Average,False,True
EMP0345,2023-04-06,Average,False,False
EMP0028,2023-04-07,Good,False,False
EMP0317,2023-04-08,Excellent,True,True
EMP0322,2023-04-09,Average,False,True
EMP0047,2023-04-10,Average,True,False
EMP0180,2023-04-11,Poor,False,True
EMP0311,2023-04-12,Average,False,True
EMP0303,2023-04-13,Excellent,False,False
EMP0313,2023-04-14,Poor,False,True
EMP0076,2023-04-15,Poor,False,False
EMP0027,2023-04-16,Poor,False,False
EMP0089,2023-04-17,Excellent,False,True
EMP0393,2023-04-18,Poor,False,False
EMP0395,2023-04-19,Poor,False,True
EMP0233,2023-04-20,Average,True,False
EMP0041,2023-04-21,Average,True,True
EMP0479,2023-04-22,Good,True,False
EMP0192,2023-04-23,Poor,True,True
EMP0091,2023-04-24,Poor,True,False
EMP0199,2023-04-25,Good,False,False
EMP0198,2023-04-26,Excellent,True,False
EMP0126,2023-04-27,Poor,True,False
EMP0483,2023-04-28,Good,False,False
EMP0296,2023-04-29,Average,True,False
EMP0494,2023-04-30,Poor,False,False
EMP0227,2023-05-01,Average,False,False
EMP0310,2023-05-02,Average,True,False
EMP0196,2023-05-03,Excellent,False,False
EMP0232,2023-05-04,Excellent,False,False
EMP0199,2023-05-05,Average,True,False
EMP0414,2023-05-06,Poor,True,True
EMP0300,2023-05-07,Poor,True,False
EMP0193,2023-05-08,Excellent,True,True
EMP0356,2023-05-09,Excellent,True,False
EMP0271,2023-05-10,Average,False,False
EMP0353,2023-05-11,Poor,False,False
EMP0345,2023-05-12,Poor,False,False
EMP0108,2023-05-13,Poor,False,True
EMP0045,2023-05-14,Excellent,True,True
EMP0109,2023-05-15,Poor,True,True
EMP0484,2023-05-16,Poor,False,True
EMP0027,2023-05-17,Poor,True,False
EMP0372,2023-05-18,Average,False,False
EMP0395,2023-05-19,Excellent,True,True
EMP0148,2023-05-20,Good,True,True
EMP0350,2023-05-21,Good,True,False
EMP0490,2023-05-22,Average,True,True
EMP0151,2023-05-23,Poor,True,True
EMP0148,2023-05-24,Excellent,False,False
EMP0396,2023-05-25,Poor,True,True
EMP0316,2023-05-26,Excellent,False,False
EMP0479,2023-05-27,Poor,True,True
EMP0458,2023-05-28,Excellent,True,False
EMP0077,2023-05-29,Average,False,True
EMP0486,2023-05-30,Average,True,True
EMP0388,2023-05-31,Excellent,True,True
EMP0309,2023-06-01,Excellent,True,False
EMP0181,2023-06-02,Average,True,False
EMP0401,2023-06-03,Poor,False,True
EMP0347,2023-06-04,Average,False,False
EMP0289,2023-06-05,Excellent,False,True
EMP0081,2023-06-06,Average,False,True
EMP0427,2023-06-07,Average,True,False
EMP0290,2023-06-08,Good,True,True
EMP0360,2023-06-09,Excellent,True,False
EMP0451,2023-06-10,Good,True,False
EMP0167,2023-06-11,Poor,False,True
EMP0308,2023-06-12,Excellent,True,True
EMP0411,2023-06-13,Average,False,False
EMP0474,2023-06-14,Excellent,False,False
EMP0306,2023-06-15,Poor,True,False
EMP0345,2023-06-16,Average,True,False
EMP0295,2023-06-17,Excellent,False,False
EMP0156,2023-06-18,Poor,False,True
EMP0213,2023-06-19,Average,True,True
EMP0377,2023-06-20,Good,False,False
EMP0291,2023-06-21,Excellent,False,True
EMP0457,2023-06-22,Good,True,False
EMP0371,2023-06-23,Poor,True,False
EMP0488,2023-06-24,Excellent,False,False
EMP0184,2023-06-25,Poor,True,True
EMP0139,2023-06-26,Poor,True,True
EMP0290,2023-06-27,Good,False,True
EMP0485,2023-06-28,Good,False,False
EMP0194,2023-06-29,Good,True,False
EMP0483,2023-06-30,Poor,True,False
EMP0071,2023-07-01,Excellent,False,True
EMP0269,2023-07-02,Good,False,True
EMP0111,2023-07-03,Poor,True,True
EMP0093,2023-07-04,Good,True,True
EMP0010,2023-07-05,Poor,False,False
EMP0029,2023-07-06,Average,True,False
EMP0048,2023-07-07,Good,False,False
EMP0038,2023-07-08,Poor,False,False
EMP0251,2023-07-09,Good,True,True
EMP0480,2023-07-10,Poor,False,True
EMP0223,2023-07-11,Average,True,True
EMP0207,2023-07-12,Poor,False,False
EMP0034,2023-07-13,Good,True,False
EMP0247,2023-07-14,Average,True,False
EMP0060,2023-07-15,Excellent,False,False
EMP0322,2023-07-16,Average,True,False
EMP0060,2023-07-17,Average,True,True
EMP0457,2023-07-18,Average,True,False
EMP0023,2023-07-19,Poor,True,True
EMP0404,2023-07-20,Excellent,False,True
EMP0465,2023-07-21,Excellent,True,False
EMP0271,2023-07-22,Excellent,False,False
EMP0202,2023-07-23,Average,False,False
EMP0396,2023-07-24,Poor,True,False
EMP0472,2023-07-25,Good,True,False
EMP0012,2023-07-26,Average,True,False
EMP0284,2023-07-27,Average,True,False
EMP0460,2023-07-28,Good,True,False
EMP0117,2023-07-29,Average,True,False
EMP0092,2023-07-30,Good,True,False
EMP0483,2023-07-31,Excellent,False,True
EMP0075,2023-08-01,Excellent,False,True
EMP0100,2023-08-02,Excellent,False,False
EMP0220,2023-08-03,Excellent,True,True
EMP0035,2023-08-04,Excellent,False,False
EMP0438,2023-08-05,Excellent,False,True
EMP0420,2023-08-06,Average,False,False
EMP0439,2023-08-07,Good,False,True
EMP0473,2023-08-08,Average,True,False
EMP0004,2023-08-09,Average,True,True
EMP0477,2023-08-10,Poor,True,True
EMP0198,2023-08-11,Average,True,True
EMP0191,2023-08-12,Average,False,False
EMP0380,2023-08-13,Good,False,False
EMP0130,2023-08-14,Average,True,False
EMP0031,2023-08-15,Excellent,False,True
EMP0238,2023-08-16,Poor,True,True
EMP0249,2023-08-17,Average,True,True
EMP0105,2023-08-18,Good,True,True
EMP0215,2023-08-19,Average,False,False
EMP0376,2023-08-20,Average,False,True
EMP0114,2023-08-21,Average,True,False
EMP0489,2023-08-22,Average,False,False
EMP0200,2023-08-23,Excellent,True,True
EMP0490,2023-08-24,Average,True,False
EMP0188,2023-08-25,Poor,False,True
EMP0397,2023-08-26,Good,True,False
EMP0362,2023-08-27,Average,False,False
EMP0301,2023-08-28,Average,False,False
EMP0384,2023-08-29,Average,False,False
EMP0427,2023-08-30,Good,False,True
EMP0009,2023-08-31,Average,True,False
EMP0273,2023-09-01,Average,True,True
EMP0107,2023-09-02,Average,True,True
EMP0175,2023-09-03,Average,True,True
EMP0357,2023-09-04,Poor,True,False
EMP0399,2023-09-05,Good,True,True
EMP0453,2023-09-06,Excellent,True,True
EMP0473,2023-09-07,Poor,False,False
EMP0422,2023-09-08,Average,True,True
EMP0366,2023-09-09,Average,True,True
EMP0431,2023-09-10,Good,True,True
EMP0053,2023-09-11,Poor,False,True
EMP0041,2023-09-12,Excellent,False,False
EMP0427,2023-09-13,Excellent,True,False
EMP0308,2023-09-14,Poor,True,True
EMP0495,2023-09-15,Excellent,False,False
EMP0326,2023-09-16,Poor,True,True
EMP0354,2023-09-17,Average,False,False
EMP0107,2023-09-18,Average,False,True
EMP0097,2023-09-19,Excellent,False,True
EMP0053,2023-09-20,Poor,False,False
EMP0104,2023-09-21,Good,False,True
EMP0012,2023-09-22,Excellent,True,False
EMP0078,2023-09-23,Average,True,True
EMP0277,2023-09-24,Poor,False,True
EMP0122,2023-09-25,Poor,True,False
EMP0207,2023-09-26,Good,True,False
EMP0485,2023-09-27,Poor,True,True
EMP0141,2023-09-28,Excellent,False,False
EMP0488,2023-09-29,Poor,False,False
EMP0326,2023-09-30,Average,True,False
EMP0322,2023-10-01,Good,False,False
EMP0010,2023-10-02,Poor,False,True
EMP0088,2023-10-03,Excellent,True,False
EMP0428,2023-10-04,Poor,True,True
EMP0472,2023-10-05,Good,True,True
EMP0194,2023-10-06,Good,True,False
EMP0310,2023-10-07,Average,True,False
EMP0136,2023-10-08,Good,False,False
EMP0091,2023-10-09,Poor,True,True
EMP0013,2023-10-10,Average,False,False
EMP0172,2023-10-11,Average,False,True
EMP0277,2023-10-12,Good,True,True
EMP0059,2023-10-13,Poor,True,True
EMP0245,2023-10-14,Average,True,False
EMP0247,2023-10-15,Good,False,False
EMP0116,2023-10-16,Excellent,False,False
EMP0234,2023-10-17,Average,True,False
EMP0133,2023-10-18,Excellent,False,True
EMP0117,2023-10-19,Average,True,True
EMP0342,2023-10-20,Average,False,True
EMP0410,2023-10-21,Good,True,False
EMP0041,2023-10-22,Average,True,False
EMP0190,2023-10-23,Excellent,False,True
EMP0342,2023-10-24,Good,True,True
EMP0429,2023-10-25,Good,True,True
EMP0264,2023-10-26,Good,True,False
EMP0311,2023-10-27,Excellent,True,False
EMP0463,2023-10-28,Good,False,True
EMP0195,2023-10-29,Good,True,False
EMP0040,2023-10-30,Poor,True,True
EMP0140,2023-10-31,Good,False,True
EMP0126,2023-11-01,Good,True,True
EMP0038,2023-11-02,Excellent,True,False
EMP0095,2023-11-03,Excellent,True,True
EMP0119,2023-11-04,Excellent,True,True
EMP0131,2023-11-05,Good,False,False
EMP0423,2023-11-06,Poor,True,False
EMP0462,2023-11-07,Poor,False,True
EMP0243,2023-11-08,Average,False,True
EMP0480,2023-11-09,Good,True,False
EMP0328,2023-11-10,Poor,False,True
EMP0098,2023-11-11,Poor,False,True
EMP0286,2023-11-12,Average,False,True
EMP0346,2023-11-13,Average,True,False
EMP0010,2023-11-14,Good,False,True
EMP0073,2023-11-15,Good,False,False
EMP0233,2023-11-16,Poor,False,True
EMP0494,2023-11-17,Good,False,False
EMP0328,2023-11-18,Good,False,True
EMP0450,2023-11-19,Good,False,False
EMP0312,2023-11-20,Poor,False,True
EMP0316,2023-11-21,Average,True,True
EMP0232,2023-11-22,Poor,True,True
EMP0275,2023-11-23,Excellent,False,False
EMP0361,2023-11-24,Excellent,True,True
EMP0354,2023-11-25,Good,True,True
EMP0420,2023-11-26,Good,True,False
EMP0097,2023-11-27,Good,False,False
EMP0101,2023-11-28,Excellent,False,True
EMP0003,2023-11-29,Poor,True,True
EMP0248,2023-11-30,Good,True,True
EMP0438,2023-12-01,Poor,False,True
EMP0343,2023-12-02,Poor,True,True
EMP0439,2023-12-03,Poor,True,True
EMP0323,2023-12-04,Good,True,True
EMP0006,2023-12-05,Excellent,True,False
EMP0366,2023-12-06,Good,False,False
EMP0411,2023-12-07,Excellent,True,False
EMP0135,2023-12-08,Good,True,False
EMP0015,2023-12-09,Average,False,False
EMP0150,2023-12-10,Good,True,True
EMP0218,2023-12-11,Average,True,False
EMP0305,2023-12-12,Excellent,True,False
EMP0069,2023-12-13,Excellent,True,True
EMP0410,2023-12-14,Poor,False,False
EMP0194,2023-12-15,Poor,True,True
EMP0430,2023-12-16,Poor,True,True
EMP0175,2023-12-17,Excellent,True,False
EMP0472,2023-12-18,Poor,False,True
EMP0418,2023-12-19,Excellent,False,False
EMP0208,2023-12-20,Excellent,True,False
EMP0224,2023-12-21,Average,False,True
EMP0442,2023-12-22,Good,False,True
EMP0142,2023-12-23,Poor,False,True
EMP0150,2023-12-24,Excellent,False,True
EMP0079,2023-12-25,Poor,False,True
EMP0449,2023-12-26,Poor,False,False
EMP0331,2023-12-27,Poor,False,False
EMP0322,2023-12-28,Excellent,False,False
EMP0299,2023-12-29,Good,True,False
EMP0262,2023-12-30,Good,True,True
EMP0249,2023-12-31,Good,True,True
EMP0392,2024-01-01,Excellent,True,True
EMP0111,2024-01-02,Good,False,True
EMP0176,2024-01-03,Good,False,False
EMP0408,2024-01-04,Poor,False,True
EMP0137,2024-01-05,Average,False,True
EMP0451,2024-01-06,Average,False,False
EMP0403,2024-01-07,Good,False,False
EMP0084,2024-01-08,Good,False,True
EMP0489,2024-01-09,Good,True,True
EMP0371,2024-01-10,Good,True,True
EMP0112,2024-01-11,Excellent,True,True
EMP0234,2024-01-12,Average,False,True
EMP0282,2024-01-13,Average,True,False
EMP0137,2024-01-14,Poor,False,True
EMP0397,2024-01-15,Average,False,True
EMP0139,2024-01-16,Excellent,True,False
EMP0054,2024-01-17,Good,False,False
EMP0199,2024-01-18,Good,False,False
EMP0117,2024-01-19,Good,False,True
EMP0457,2024-01-20,Poor,False,True
EMP0349,2024-01-21,Good,False,True
EMP0006,2024-01-22,Good,False,False
EMP0324,2024-01-23,Poor,True,True
EMP0129,2024-01-24,Excellent,True,False
EMP0473,2024-01-25,Excellent,True,False
EMP0427,2024-01-26,Poor,True,True
EMP0181,2024-01-27,Good,False,True
EMP0350,2024-01-28,Excellent,False,True
EMP0335,2024-01-29,Excellent,False,True
EMP0160,2024-01-30,Good,False,True
EMP0413,2024-01-31,Good,False,False
EMP0151,2024-02-01,Good,True,True
EMP0198,2024-02-02,Average,True,True
EMP0287,2024-02-03,Poor,True,True
EMP0341,2024-02-04,Average,True,False
EMP0164,2024-02-05,Excellent,False,False
EMP0353,2024-02-06,Good,True,True
EMP0475,2024-02-07,Average,True,False
EMP0210,2024-02-08,Good,True,False
EMP0473,2024-02-09,Good,False,False
EMP0112,2024-02-10,Poor,False,True
EMP0173,2024-02-11,Poor,False,False
EMP0258,2024-02-12,Excellent,True,False
EMP0235,2024-02-13,Excellent,False,False
EMP0406,2024-02-14,Average,True,True
EMP0467,2024-02-15,Poor,False,True
EMP0455,2024-02-16,Good,False,True
EMP0459,2024-02-17,Poor,True,True
EMP0056,2024-02-18,Excellent,True,True
EMP0335,2024-02-19,Average,False,False
EMP0107,2024-02-20,Excellent,False,False
EMP0227,2024-02-21,Good,False,True
EMP0493,2024-02-22,Good,True,True
EMP0391,2024-02-23,Average,False,False
EMP0182,2024-02-24,Poor,False,True
EMP0359,2024-02-25,Average,False,False
EMP0282,2024-02-26,Good,True,False
EMP0158,2024-02-27,Poor,True,True
EMP0023,2024-02-28,Excellent,True,False
EMP0051,2024-02-29,Excellent,True,True
EMP0324,2024-03-01,Average,False,False
EMP0266,2024-03-02,Average,True,False
EMP0494,2024-03-03,Average,False,True
EMP0490,2024-03-04,Average,True,False
EMP0127,2024-03-05,Average,True,True
EMP0262,2024-03-06,Good,False,True
EMP0483,2024-03-07,Good,True,False
EMP0109,2024-03-08,Excellent,True,True
EMP0063,2024-03-09,Average,True,False
EMP0103,2024-03-10,Average,True,False
EMP0398,2024-03-11,Poor,False,True
EMP0152,2024-03-12,Poor,True,False
EMP0141,2024-03-13,Average,False,True
EMP0279,2024-03-14,Good,False,True
EMP0382,2024-03-15,Poor,False,True
EMP0126,2024-03-16,Good,False,False
EMP0477,2024-03-17,Good,False,False
EMP0393,2024-03-18,Excellent,False,True
EMP0450,2024-03-19,Average,False,False
EMP0296,2024-03-20,Excellent,True,True
EMP0324,2024-03-21,Average,True,True
EMP0078,2024-03-22,Poor,False,False
EMP0174,2024-03-23,Average,False,True
EMP0178,2024-03-24,Poor,False,False
EMP0489,2024-03-25,Good,False,False
EMP0001,2024-03-26,Excellent,True,False
EMP0382,2024-03-27,Excellent,True,True
EMP0428,2024-03-28,Excellent,True,False
EMP0101,2024-03-29,Good,False,False
EMP0079,2024-03-30,Average,True,True
EMP0128,2024-03-31,Average,True,False
EMP0123,2024-04-01,Poor,False,True
EMP0076,2024-04-02,Good,True,False
EMP0110,2024-04-03,Average,False,False
EMP0290,2024-04-04,Good,False,False
EMP0280,2024-04-05,Excellent,True,False
EMP0385,2024-04-06,Poor,True,True
EMP0434,2024-04-07,Poor,False,True
EMP0322,2024-04-08,Excellent,True,True
EMP0411,2024-04-09,Good,False,False
EMP0051,2024-04-10,Poor,True,True
EMP0466,2024-04-11,Good,False,False
EMP0141,2024-04-12,Poor,False,False
EMP0293,2024-04-13,Good,False,True
EMP0298,2024-04-14,Good,True,False
EMP0482,2024-04-15,Average,False,False
EMP0267,2024-04-16,Poor,True,False
EMP0486,2024-04-17,Excellent,False,True
EMP0175,2024-04-18,Poor,False,True
EMP0471,2024-04-19,Excellent,False,False
EMP0499,2024-04-20,Good,False,True
EMP0145,2024-04-21,Average,False,False
EMP0436,2024-04-22,Average,True,True
EMP0176,2024-04-23,Poor,True,False
EMP0367,2024-04-24,Good,True,True
EMP0244,2024-04-25,Poor,True,True
EMP0352,2024-04-26,Poor,True,True
EMP0428,2024-04-27,Poor,True,True
EMP0205,2024-04-28,Excellent,True,True
EMP0129,2024-04-29,Poor,False,False
EMP0475,2024-04-30,Average,True,False
EMP0208,2024-05-01,Excellent,False,False
EMP0307,2024-05-02,Poor,True,True
EMP0329,2024-05-03,Average,True,False
EMP0286,2024-05-04,Average,False,False
EMP0249,2024-05-05,Excellent,True,True
EMP0398,2024-05-06,Good,True,False
EMP0226,2024-05-07,Good,False,True
EMP0395,2024-05-08,Average,True,False
EMP0315,2024-05-09,Good,True,True
EMP0220,2024-05-10,Good,True,True
EMP0112,2024-05-11,Excellent,True,False
EMP0407,2024-05-12,Good,False,False
EMP0199,2024-05-13,Poor,True,False
EMP0370,2024-05-14,Poor,False,True
