Employee_ID,Review_Period,Performance_Rating,Manager_Feedback,Promotion_Consideration
EMP0220,Annual 2023,4,Meets Expectations,FALSE
EMP0145,H2 2023,3,Exceeds Expectations,TRUE
EMP0321,H1 2023,4,Meets Expectations,TRUE
EMP0143,H2 2023,4,Needs Improvement,FALSE
EMP0467,H2 2023,3,Exceeds Expectations,TRUE
EMP0370,H2 2023,2,Meets Expectations,TRUE
EMP0060,H1 2023,2,Exceeds Expectations,TRUE
EMP0309,Annual 2023,4,Needs Improvement,TRUE
EMP0249,Annual 2023,3,Exceeds Expectations,TRUE
EMP0051,Annual 2023,4,Meets Expectations,TRUE
EMP0482,H1 2023,4,Exceeds Expectations,TRUE
EMP0151,H2 2023,1,Needs Improvement,FALSE
EMP0181,H1 2023,4,Needs Improvement,TRUE
EMP0318,Annual 2023,3,Exceeds Expectations,FALSE
EMP0070,Annual 2023,2,Exceeds Expectations,FALSE
EMP0074,Annual 2023,2,Meets Expectations,TRUE
EMP0389,Annual 2023,2,Meets Expectations,TRUE
EMP0181,H2 2023,3,Exceeds Expectations,FALSE
EMP0193,H1 2023,3,Needs Improvement,TRUE
EMP0457,Annual 2023,3,Meets Expectations,TRUE
EMP0472,H2 2023,1,Meets Expectations,FALSE
EMP0036,H1 2023,2,Needs Improvement,FALSE
EMP0106,H1 2023,1,Meets Expectations,FALSE
EMP0065,Annual 2023,1,Exceeds Expectations,TRUE
EMP0063,H1 2023,2,Needs Improvement,FALSE
EMP0298,H2 2023,1,Needs Improvement,TRUE
EMP0340,H1 2023,4,Needs Improvement,FALSE
EMP0128,H1 2023,3,Needs Improvement,FALSE
EMP0350,H2 2023,4,Exceeds Expectations,TRUE
EMP0010,Annual 2023,2,Needs Improvement,FALSE
EMP0060,H2 2023,2,Exceeds Expectations,FALSE
EMP0028,H1 2023,3,Meets Expectations,FALSE
EMP0484,H1 2023,2,Meets Expectations,TRUE
EMP0310,H1 2023,3,Meets Expectations,TRUE
EMP0110,H1 2023,4,Needs Improvement,TRUE
EMP0461,H1 2023,2,Exceeds Expectations,FALSE
EMP0223,Annual 2023,2,Meets Expectations,TRUE
EMP0394,H2 2023,4,Exceeds Expectations,FALSE
EMP0408,H2 2023,1,Needs Improvement,FALSE
EMP0270,Annual 2023,3,Meets Expectations,FALSE
EMP0304,H2 2023,1,Exceeds Expectations,FALSE
EMP0004,H1 2023,2,Needs Improvement,FALSE
EMP0210,H2 2023,3,Needs Improvement,FALSE
EMP0379,Annual 2023,2,Needs Improvement,TRUE
EMP0440,H2 2023,4,Needs Improvement,TRUE
EMP0106,H2 2023,4,Needs Improvement,TRUE
EMP0337,Annual 2023,3,Meets Expectations,TRUE
EMP0484,H1 2023,2,Needs Improvement,TRUE
EMP0126,Annual 2023,1,Needs Improvement,TRUE
EMP0262,H1 2023,1,Exceeds Expectations,FALSE
EMP0184,H1 2023,1,Exceeds Expectations,FALSE
EMP0458,H2 2023,1,Exceeds Expectations,FALSE
EMP0194,Annual 2023,3,Meets Expectations,FALSE
EMP0024,H1 2023,4,Meets Expectations,FALSE
EMP0279,H2 2023,1,Needs Improvement,TRUE
EMP0141,H2 2023,1,Meets Expectations,FALSE
EMP0051,H1 2023,2,Meets Expectations,FALSE
EMP0009,H1 2023,4,Needs Improvement,TRUE
EMP0326,H1 2023,3,Exceeds Expectations,TRUE
EMP0108,Annual 2023,4,Needs Improvement,TRUE
EMP0032,Annual 2023,4,Exceeds Expectations,FALSE
EMP0413,H1 2023,2,Exceeds Expectations,TRUE
EMP0118,H2 2023,4,Exceeds Expectations,TRUE
EMP0093,Annual 2023,1,Meets Expectations,TRUE
EMP0045,Annual 2023,1,Exceeds Expectations,TRUE
EMP0332,H1 2023,3,Exceeds Expectations,FALSE
EMP0457,H2 2023,1,Needs Improvement,TRUE
EMP0360,H2 2023,1,Meets Expectations,TRUE
EMP0405,Annual 2023,2,Needs Improvement,FALSE
EMP0242,Annual 2023,2,Meets Expectations,TRUE
EMP0312,Annual 2023,1,Meets Expectations,FALSE
EMP0074,H1 2023,2,Exceeds Expectations,FALSE
EMP0462,H1 2023,4,Meets Expectations,FALSE
EMP0132,H2 2023,1,Needs Improvement,TRUE
EMP0328,H2 2023,1,Meets Expectations,TRUE
EMP0430,H1 2023,1,Meets Expectations,TRUE
EMP0117,Annual 2023,2,Needs Improvement,TRUE
EMP0002,Annual 2023,3,Exceeds Expectations,TRUE
EMP0476,Annual 2023,3,Needs Improvement,TRUE
EMP0107,Annual 2023,1,Needs Improvement,FALSE
EMP0352,Annual 2023,2,Exceeds Expectations,TRUE
EMP0017,H2 2023,4,Exceeds Expectations,FALSE
EMP0077,H1 2023,2,Exceeds Expectations,FALSE
EMP0139,H1 2023,2,Needs Improvement,FALSE
EMP0327,H2 2023,2,Needs Improvement,FALSE
EMP0389,H2 2023,3,Needs Improvement,FALSE
EMP0054,H2 2023,4,Exceeds Expectations,TRUE
EMP0161,Annual 2023,4,Needs Improvement,FALSE
EMP0379,H1 2023,3,Exceeds Expectations,TRUE
EMP0364,Annual 2023,3,Exceeds Expectations,FALSE
EMP0356,H1 2023,3,Exceeds Expectations,FALSE
EMP0364,H2 2023,3,Exceeds Expectations,TRUE
EMP0438,H2 2023,1,Meets Expectations,TRUE
EMP0152,Annual 2023,4,Needs Improvement,FALSE
EMP0416,H2 2023,3,Meets Expectations,FALSE
EMP0398,H2 2023,2,Meets Expectations,TRUE
EMP0123,Annual 2023,3,Exceeds Expectations,FALSE
EMP0057,H1 2023,1,Exceeds Expectations,TRUE
EMP0405,H1 2023,3,Needs Improvement,FALSE
EMP0392,H1 2023,2,Meets Expectations,TRUE
EMP0154,Annual 2023,1,Exceeds Expectations,FALSE
EMP0351,Annual 2023,1,Meets Expectations,FALSE
EMP0037,H2 2023,1,Needs Improvement,TRUE
EMP0260,Annual 2023,4,Needs Improvement,FALSE
EMP0179,H1 2023,1,Needs Improvement,FALSE
EMP0472,H2 2023,3,Needs Improvement,FALSE
EMP0475,Annual 2023,2,Meets Expectations,TRUE
EMP0500,H1 2023,4,Exceeds Expectations,FALSE
EMP0061,H2 2023,4,Needs Improvement,FALSE
EMP0232,H2 2023,1,Meets Expectations,FALSE
EMP0056,H2 2023,4,Needs Improvement,FALSE
EMP0274,H2 2023,3,Exceeds Expectations,TRUE
EMP0225,Annual 2023,1,Meets Expectations,TRUE
EMP0338,H1 2023,4,Meets Expectations,TRUE
EMP0476,H1 2023,2,Needs Improvement,FALSE
EMP0468,H2 2023,4,Exceeds Expectations,TRUE
EMP0396,H1 2023,1,Needs Improvement,FALSE
EMP0429,H2 2023,2,Needs Improvement,TRUE
EMP0367,H1 2023,2,Exceeds Expectations,FALSE
EMP0185,H1 2023,3,Exceeds Expectations,TRUE
EMP0135,Annual 2023,2,Needs Improvement,FALSE
EMP0113,Annual 2023,2,Needs Improvement,TRUE
EMP0384,H1 2023,3,Exceeds Expectations,TRUE
EMP0445,Annual 2023,4,Meets Expectations,FALSE
EMP0006,H1 2023,1,Exceeds Expectations,FALSE
EMP0010,H2 2023,4,Exceeds Expectations,TRUE
EMP0059,H2 2023,2,Needs Improvement,FALSE
EMP0047,H1 2023,2,Exceeds Expectations,FALSE
EMP0243,H1 2023,2,Exceeds Expectations,FALSE
EMP0466,Annual 2023,1,Meets Expectations,FALSE
EMP0108,Annual 2023,2,Meets Expectations,FALSE
EMP0434,H1 2023,1,Needs Improvement,TRUE
EMP0077,Annual 2023,4,Needs Improvement,FALSE
EMP0239,H2 2023,3,Meets Expectations,TRUE
EMP0168,H1 2023,2,Exceeds Expectations,FALSE
EMP0469,H2 2023,1,Exceeds Expectations,TRUE
EMP0020,H2 2023,2,Needs Improvement,FALSE
EMP0003,Annual 2023,4,Meets Expectations,TRUE
EMP0153,Annual 2023,1,Meets Expectations,FALSE
EMP0056,H2 2023,1,Meets Expectations,FALSE
EMP0305,H1 2023,3,Exceeds Expectations,FALSE
EMP0275,H2 2023,1,Needs Improvement,FALSE
EMP0238,H1 2023,3,Exceeds Expectations,FALSE
EMP0123,H1 2023,4,Meets Expectations,FALSE
EMP0198,H2 2023,2,Needs Improvement,TRUE
EMP0176,H1 2023,4,Exceeds Expectations,TRUE
EMP0270,H2 2023,4,Meets Expectations,TRUE
EMP0166,H1 2023,4,Meets Expectations,TRUE
EMP0108,H2 2023,4,Exceeds Expectations,FALSE
EMP0463,Annual 2023,3,Meets Expectations,FALSE
EMP0119,H2 2023,1,Meets Expectations,FALSE
EMP0392,Annual 2023,2,Needs Improvement,FALSE
EMP0327,H2 2023,1,Exceeds Expectations,FALSE
EMP0447,H1 2023,2,Exceeds Expectations,TRUE
EMP0077,H2 2023,2,Exceeds Expectations,FALSE
EMP0190,Annual 2023,2,Meets Expectations,TRUE
EMP0356,H1 2023,1,Meets Expectations,TRUE
EMP0410,H2 2023,4,Needs Improvement,TRUE
EMP0091,Annual 2023,3,Meets Expectations,TRUE
EMP0101,H2 2023,2,Needs Improvement,TRUE
EMP0338,Annual 2023,2,Exceeds Expectations,FALSE
EMP0020,H2 2023,3,Exceeds Expectations,TRUE
EMP0108,Annual 2023,4,Needs Improvement,FALSE
EMP0446,H2 2023,1,Meets Expectations,FALSE
EMP0303,H2 2023,2,Meets Expectations,FALSE
EMP0361,H1 2023,3,Needs Improvement,FALSE
EMP0418,H1 2023,1,Exceeds Expectations,TRUE
EMP0060,H2 2023,4,Meets Expectations,TRUE
EMP0401,H1 2023,3,Needs Improvement,FALSE
EMP0382,Annual 2023,4,Exceeds Expectations,TRUE
EMP0131,H1 2023,2,Exceeds Expectations,TRUE
EMP0305,H2 2023,2,Exceeds Expectations,FALSE
EMP0097,H1 2023,1,Exceeds Expectations,FALSE
EMP0366,H1 2023,3,Needs Improvement,FALSE
EMP0233,Annual 2023,1,Meets Expectations,TRUE
EMP0366,Annual 2023,2,Needs Improvement,TRUE
EMP0463,Annual 2023,4,Needs Improvement,FALSE
EMP0225,Annual 2023,3,Meets Expectations,FALSE
EMP0401,Annual 2023,4,Needs Improvement,TRUE
EMP0070,H2 2023,3,Needs Improvement,FALSE
EMP0384,H1 2023,3,Meets Expectations,TRUE
EMP0454,Annual 2023,3,Exceeds Expectations,TRUE
EMP0009,H2 2023,1,Meets Expectations,TRUE
EMP0348,H2 2023,3,Meets Expectations,FALSE
EMP0369,Annual 2023,3,Meets Expectations,FALSE
EMP0048,H1 2023,2,Needs Improvement,TRUE
EMP0446,Annual 2023,4,Meets Expectations,FALSE
EMP0013,H1 2023,4,Meets Expectations,FALSE
EMP0019,H1 2023,2,Exceeds Expectations,TRUE
EMP0259,Annual 2023,3,Meets Expectations,TRUE
EMP0068,H1 2023,1,Meets Expectations,FALSE
EMP0280,H1 2023,4,Meets Expectations,TRUE
EMP0426,H2 2023,4,Needs Improvement,FALSE
EMP0190,H2 2023,3,Exceeds Expectations,TRUE
EMP0119,H2 2023,1,Exceeds Expectations,FALSE
EMP0412,H2 2023,1,Needs Improvement,TRUE
EMP0104,H1 2023,2,Needs Improvement,FALSE
EMP0265,H2 2023,2,Meets Expectations,FALSE
EMP0255,H2 2023,3,Needs Improvement,FALSE
EMP0431,Annual 2023,1,Exceeds Expectations,FALSE
EMP0116,H1 2023,1,Needs Improvement,TRUE
EMP0436,H1 2023,1,Meets Expectations,TRUE
EMP0201,Annual 2023,2,Meets Expectations,TRUE
EMP0253,Annual 2023,4,Needs Improvement,TRUE
EMP0335,H2 2023,1,Meets Expectations,TRUE
EMP0321,H2 2023,2,Needs Improvement,TRUE
EMP0112,H1 2023,1,Meets Expectations,TRUE
EMP0382,H2 2023,3,Exceeds Expectations,FALSE
EMP0476,Annual 2023,2,Exceeds Expectations,FALSE
EMP0489,Annual 2023,2,Exceeds Expectations,FALSE
EMP0419,H2 2023,2,Exceeds Expectations,TRUE
EMP0254,Annual 2023,1,Exceeds Expectations,TRUE
EMP0259,H1 2023,1,Exceeds Expectations,FALSE
EMP0053,Annual 2023,2,Needs Improvement,TRUE
EMP0210,H2 2023,1,Exceeds Expectations,FALSE
EMP0292,H2 2023,3,Needs Improvement,FALSE
EMP0491,Annual 2023,4,Needs Improvement,FALSE
EMP0035,Annual 2023,3,Exceeds Expectations,FALSE
EMP0321,H2 2023,1,Exceeds Expectations,FALSE
EMP0185,H2 2023,4,Meets Expectations,FALSE
EMP0108,Annual 2023,4,Meets Expectations,TRUE
EMP0064,H1 2023,2,Needs Improvement,TRUE
EMP0034,Annual 2023,4,Exceeds Expectations,FALSE
EMP0157,H2 2023,2,Meets Expectations,FALSE
EMP0433,H2 2023,3,Exceeds Expectations,FALSE
EMP0330,Annual 2023,2,Needs Improvement,TRUE
EMP0244,H2 2023,1,Needs Improvement,TRUE
EMP0083,Annual 2023,1,Exceeds Expectations,FALSE
EMP0326,H2 2023,2,Exceeds Expectations,FALSE
EMP0007,H2 2023,2,Meets Expectations,FALSE
EMP0051,Annual 2023,4,Exceeds Expectations,TRUE
EMP0133,Annual 2023,2,Meets Expectations,FALSE
EMP0200,Annual 2023,4,Needs Improvement,TRUE
EMP0310,Annual 2023,3,Meets Expectations,FALSE
EMP0024,H2 2023,1,Meets Expectations,FALSE
EMP0455,Annual 2023,4,Needs Improvement,TRUE
EMP0040,H2 2023,3,Needs Improvement,TRUE
EMP0046,Annual 2023,2,Exceeds Expectations,FALSE
EMP0207,H1 2023,4,Needs Improvement,TRUE
EMP0047,H1 2023,4,Meets Expectations,TRUE
EMP0074,H1 2023,2,Meets Expectations,FALSE
EMP0389,H1 2023,3,Exceeds Expectations,FALSE
EMP0139,Annual 2023,2,Needs Improvement,FALSE
EMP0423,H1 2023,2,Exceeds Expectations,FALSE
EMP0024,H2 2023,1,Needs Improvement,FALSE
EMP0422,H1 2023,1,Needs Improvement,FALSE
EMP0414,H1 2023,3,Meets Expectations,TRUE
EMP0372,H1 2023,1,Exceeds Expectations,TRUE
