Employee_ID,Review_Period,Performance_Rating,Manager_Feedback,Promotion_Consideration
EMP0223,H2 2023,2,Meets Expectations,FALSE
EMP0479,H1 2023,1,Needs Improvement,TRUE
EMP0423,Annual 2023,4,Exceeds Expectations,FALSE
EMP0442,Annual 2023,3,Needs Improvement,FALSE
EMP0144,H2 2023,2,Exceeds Expectations,TRUE
EMP0027,H2 2023,1,Meets Expectations,FALSE
EMP0430,H1 2023,4,Meets Expectations,FALSE
EMP0272,Annual 2023,1,Needs Improvement,TRUE
EMP0233,H2 2023,1,Needs Improvement,TRUE
EMP0319,Annual 2023,1,Exceeds Expectations,FALSE
EMP0347,Annual 2023,4,Meets Expectations,FALSE
EMP0243,Annual 2023,2,Needs Improvement,FALSE
EMP0087,Annual 2023,1,Exceeds Expectations,TRUE
EMP0489,H1 2023,1,Needs Improvement,TRUE
EMP0352,Annual 2023,4,Meets Expectations,FALSE
EMP0471,H2 2023,4,Exceeds Expectations,FALSE
EMP0066,Annual 2023,4,Needs Improvement,TRUE
EMP0396,H2 2023,1,Needs Improvement,TRUE
EMP0066,Annual 2023,1,Meets Expectations,FALSE
EMP0100,H1 2023,2,Exceeds Expectations,TRUE
EMP0377,Annual 2023,2,Meets Expectations,TRUE
EMP0361,H1 2023,4,Exceeds Expectations,FALSE
EMP0001,H1 2023,4,Meets Expectations,FALSE
EMP0225,H1 2023,3,Needs Improvement,TRUE
EMP0185,Annual 2023,2,Needs Improvement,FALSE
EMP0278,H2 2023,4,Needs Improvement,FALSE
EMP0258,H2 2023,3,Exceeds Expectations,FALSE
EMP0464,H2 2023,4,Exceeds Expectations,FALSE
EMP0391,H2 2023,2,Exceeds Expectations,TRUE
EMP0273,H1 2023,3,Meets Expectations,FALSE
EMP0360,Annual 2023,4,Meets Expectations,FALSE
EMP0355,H1 2023,4,Needs Improvement,FALSE
EMP0042,Annual 2023,4,Meets Expectations,TRUE
EMP0130,Annual 2023,4,Meets Expectations,FALSE
EMP0494,Annual 2023,2,Meets Expectations,FALSE
EMP0267,Annual 2023,3,Needs Improvement,FALSE
EMP0167,H1 2023,2,Meets Expectations,FALSE
EMP0360,H2 2023,3,Needs Improvement,FALSE
EMP0352,H1 2023,3,Needs Improvement,TRUE
EMP0327,Annual 2023,2,Meets Expectations,FALSE
EMP0402,Annual 2023,1,Needs Improvement,FALSE
EMP0298,H1 2023,4,Needs Improvement,FALSE
EMP0351,Annual 2023,2,Needs Improvement,TRUE
EMP0484,H1 2023,4,Meets Expectations,TRUE
EMP0472,H1 2023,3,Exceeds Expectations,TRUE
EMP0444,H2 2023,1,Exceeds Expectations,FALSE
EMP0164,H2 2023,1,Meets Expectations,FALSE
EMP0214,Annual 2023,4,Meets Expectations,FALSE
EMP0487,Annual 2023,2,Exceeds Expectations,FALSE
EMP0380,Annual 2023,2,Exceeds Expectations,FALSE
EMP0023,Annual 2023,4,Meets Expectations,FALSE
EMP0125,H1 2023,3,Needs Improvement,FALSE
EMP0225,H2 2023,3,Exceeds Expectations,FALSE
EMP0334,H1 2023,2,Exceeds Expectations,FALSE
EMP0330,H2 2023,4,Needs Improvement,TRUE
EMP0413,H1 2023,3,Needs Improvement,TRUE
EMP0304,H1 2023,2,Meets Expectations,FALSE
EMP0094,H2 2023,1,Exceeds Expectations,TRUE
EMP0159,H2 2023,1,Meets Expectations,FALSE
EMP0398,Annual 2023,3,Exceeds Expectations,TRUE
EMP0018,H2 2023,1,Meets Expectations,FALSE
EMP0010,Annual 2023,3,Needs Improvement,FALSE
EMP0360,H2 2023,3,Meets Expectations,FALSE
EMP0054,H1 2023,3,Needs Improvement,FALSE
EMP0115,Annual 2023,4,Needs Improvement,FALSE
EMP0500,H2 2023,4,Needs Improvement,TRUE
EMP0169,H1 2023,4,Meets Expectations,FALSE
EMP0222,H1 2023,4,Meets Expectations,FALSE
EMP0460,H2 2023,2,Needs Improvement,TRUE
EMP0006,H1 2023,2,Meets Expectations,TRUE
EMP0064,H1 2023,1,Needs Improvement,TRUE
EMP0470,H2 2023,2,Exceeds Expectations,FALSE
EMP0318,Annual 2023,4,Exceeds Expectations,TRUE
EMP0135,H2 2023,1,Exceeds Expectations,TRUE
EMP0360,Annual 2023,2,Meets Expectations,TRUE
EMP0003,Annual 2023,1,Exceeds Expectations,FALSE
EMP0185,H2 2023,1,Exceeds Expectations,FALSE
EMP0474,H1 2023,4,Exceeds Expectations,TRUE
EMP0350,H1 2023,4,Needs Improvement,FALSE
EMP0320,H2 2023,2,Meets Expectations,FALSE
EMP0301,H1 2023,2,Needs Improvement,TRUE
EMP0122,H2 2023,1,Meets Expectations,FALSE
EMP0290,H2 2023,1,Needs Improvement,FALSE
EMP0184,Annual 2023,3,Needs Improvement,TRUE
EMP0364,Annual 2023,3,Meets Expectations,FALSE
EMP0429,H2 2023,2,Meets Expectations,TRUE
EMP0058,H1 2023,1,Meets Expectations,TRUE
EMP0213,H2 2023,2,Meets Expectations,TRUE
EMP0164,H2 2023,1,Exceeds Expectations,FALSE
EMP0454,H1 2023,4,Meets Expectations,TRUE
EMP0211,Annual 2023,3,Meets Expectations,TRUE
EMP0398,Annual 2023,1,Meets Expectations,FALSE
EMP0496,H2 2023,3,Meets Expectations,TRUE
EMP0403,H1 2023,2,Needs Improvement,TRUE
EMP0053,H2 2023,4,Needs Improvement,FALSE
EMP0462,Annual 2023,4,Exceeds Expectations,FALSE
EMP0202,H2 2023,2,Needs Improvement,TRUE
EMP0482,H2 2023,4,Meets Expectations,FALSE
EMP0136,H2 2023,3,Needs Improvement,TRUE
EMP0256,H2 2023,1,Needs Improvement,FALSE
EMP0234,H1 2023,3,Exceeds Expectations,TRUE
EMP0024,H2 2023,3,Needs Improvement,TRUE
EMP0442,H1 2023,1,Needs Improvement,FALSE
EMP0487,H2 2023,1,Meets Expectations,TRUE
EMP0006,H1 2023,1,Needs Improvement,FALSE
EMP0377,H1 2023,3,Needs Improvement,TRUE
EMP0326,Annual 2023,4,Exceeds Expectations,TRUE
EMP0055,H2 2023,1,Meets Expectations,FALSE
EMP0100,H1 2023,4,Needs Improvement,TRUE
EMP0141,H2 2023,4,Needs Improvement,TRUE
EMP0136,H1 2023,1,Needs Improvement,FALSE
EMP0295,H2 2023,2,Exceeds Expectations,TRUE
EMP0367,Annual 2023,2,Meets Expectations,FALSE
EMP0043,Annual 2023,2,Meets Expectations,TRUE
EMP0178,Annual 2023,2,Exceeds Expectations,FALSE
EMP0326,H1 2023,2,Meets Expectations,FALSE
EMP0004,H2 2023,3,Meets Expectations,FALSE
EMP0107,H2 2023,4,Needs Improvement,TRUE
EMP0187,Annual 2023,3,Exceeds Expectations,FALSE
EMP0476,H2 2023,4,Needs Improvement,FALSE
EMP0022,Annual 2023,4,Needs Improvement,TRUE
EMP0326,H2 2023,3,Meets Expectations,TRUE
EMP0023,H2 2023,2,Exceeds Expectations,FALSE
EMP0357,Annual 2023,3,Exceeds Expectations,TRUE
EMP0179,H1 2023,1,Meets Expectations,TRUE
EMP0088,H2 2023,3,Meets Expectations,TRUE
EMP0139,H2 2023,1,Exceeds Expectations,FALSE
EMP0011,H2 2023,3,Exceeds Expectations,TRUE
EMP0302,Annual 2023,1,Exceeds Expectations,TRUE
EMP0494,H2 2023,1,Needs Improvement,FALSE
EMP0033,Annual 2023,2,Needs Improvement,TRUE
EMP0415,H2 2023,1,Needs Improvement,FALSE
EMP0131,H1 2023,3,Exceeds Expectations,TRUE
EMP0498,H2 2023,2,Needs Improvement,TRUE
EMP0061,Annual 2023,1,Needs Improvement,TRUE
EMP0219,H1 2023,3,Meets Expectations,FALSE
EMP0355,H2 2023,2,Needs Improvement,FALSE
EMP0097,H1 2023,1,Needs Improvement,FALSE
EMP0287,Annual 2023,3,Exceeds Expectations,FALSE
EMP0221,H2 2023,1,Exceeds Expectations,TRUE
EMP0256,Annual 2023,1,Needs Improvement,FALSE
EMP0345,Annual 2023,4,Exceeds Expectations,FALSE
EMP0481,H2 2023,3,Needs Improvement,TRUE
EMP0458,H1 2023,2,Needs Improvement,TRUE
EMP0376,H2 2023,1,Needs Improvement,TRUE
EMP0264,H2 2023,3,Exceeds Expectations,TRUE
EMP0026,H2 2023,3,Meets Expectations,FALSE
EMP0447,H1 2023,1,Meets Expectations,TRUE
EMP0037,Annual 2023,1,Needs Improvement,FALSE
EMP0343,H1 2023,3,Exceeds Expectations,FALSE
EMP0011,H1 2023,3,Meets Expectations,TRUE
EMP0339,H2 2023,1,Exceeds Expectations,FALSE
EMP0185,H2 2023,2,Needs Improvement,TRUE
EMP0441,H1 2023,4,Exceeds Expectations,TRUE
EMP0355,Annual 2023,1,Needs Improvement,TRUE
EMP0484,H1 2023,2,Needs Improvement,FALSE
EMP0184,H1 2023,2,Exceeds Expectations,TRUE
EMP0388,H2 2023,3,Needs Improvement,TRUE
EMP0362,H1 2023,4,Meets Expectations,FALSE
EMP0158,H2 2023,4,Meets Expectations,TRUE
EMP0006,H1 2023,2,Exceeds Expectations,TRUE
EMP0455,H1 2023,3,Exceeds Expectations,TRUE
EMP0264,H1 2023,4,Exceeds Expectations,TRUE
EMP0398,Annual 2023,2,Exceeds Expectations,TRUE
EMP0495,H2 2023,4,Needs Improvement,FALSE
EMP0277,H1 2023,1,Meets Expectations,FALSE
EMP0422,H2 2023,1,Needs Improvement,TRUE
EMP0131,H2 2023,1,Exceeds Expectations,TRUE
EMP0282,H1 2023,4,Needs Improvement,TRUE
EMP0257,H1 2023,4,Needs Improvement,FALSE
EMP0398,Annual 2023,3,Exceeds Expectations,FALSE
EMP0317,H2 2023,1,Exceeds Expectations,TRUE
EMP0305,H1 2023,4,Exceeds Expectations,FALSE
EMP0143,Annual 2023,3,Needs Improvement,TRUE
EMP0259,Annual 2023,1,Exceeds Expectations,TRUE
EMP0435,H1 2023,3,Exceeds Expectations,FALSE
EMP0383,H2 2023,4,Needs Improvement,TRUE
EMP0411,H1 2023,2,Meets Expectations,FALSE
EMP0087,H2 2023,4,Meets Expectations,FALSE
EMP0012,H2 2023,1,Needs Improvement,TRUE
EMP0393,H1 2023,1,Meets Expectations,FALSE
EMP0342,Annual 2023,2,Exceeds Expectations,TRUE
EMP0104,Annual 2023,1,Meets Expectations,TRUE
EMP0464,H2 2023,3,Meets Expectations,FALSE
EMP0296,H1 2023,2,Exceeds Expectations,FALSE
EMP0075,H2 2023,1,Meets Expectations,FALSE
EMP0156,H1 2023,1,Needs Improvement,FALSE
EMP0291,Annual 2023,3,Exceeds Expectations,TRUE
EMP0396,H1 2023,2,Meets Expectations,FALSE
EMP0041,H1 2023,3,Needs Improvement,TRUE
EMP0478,H2 2023,3,Exceeds Expectations,FALSE
EMP0432,H1 2023,3,Needs Improvement,FALSE
EMP0228,H1 2023,3,Exceeds Expectations,TRUE
EMP0396,H2 2023,1,Exceeds Expectations,TRUE
EMP0335,H1 2023,2,Exceeds Expectations,TRUE
EMP0188,H2 2023,2,Needs Improvement,TRUE
EMP0247,Annual 2023,1,Needs Improvement,FALSE
EMP0285,H2 2023,4,Meets Expectations,TRUE
EMP0245,Annual 2023,3,Meets Expectations,TRUE
EMP0445,H1 2023,1,Exceeds Expectations,FALSE
EMP0232,H2 2023,1,Meets Expectations,TRUE
EMP0071,H2 2023,2,Exceeds Expectations,TRUE
EMP0173,H1 2023,4,Exceeds Expectations,TRUE
EMP0456,Annual 2023,3,Needs Improvement,FALSE
EMP0157,H1 2023,1,Needs Improvement,FALSE
EMP0227,H2 2023,3,Exceeds Expectations,TRUE
EMP0045,Annual 2023,3,Exceeds Expectations,TRUE
EMP0115,H1 2023,4,Needs Improvement,TRUE
EMP0211,H2 2023,2,Exceeds Expectations,TRUE
EMP0384,Annual 2023,4,Needs Improvement,FALSE
EMP0322,Annual 2023,3,Needs Improvement,TRUE
EMP0147,H2 2023,2,Exceeds Expectations,FALSE
EMP0039,Annual 2023,2,Exceeds Expectations,FALSE
EMP0303,Annual 2023,4,Exceeds Expectations,FALSE
EMP0213,H2 2023,1,Needs Improvement,FALSE
EMP0192,H2 2023,1,Meets Expectations,TRUE
EMP0484,H1 2023,2,Needs Improvement,FALSE
EMP0317,Annual 2023,1,Meets Expectations,FALSE
EMP0067,Annual 2023,3,Exceeds Expectations,FALSE
EMP0217,H1 2023,4,Exceeds Expectations,FALSE
EMP0474,H2 2023,2,Exceeds Expectations,FALSE
EMP0029,H1 2023,4,Meets Expectations,FALSE
EMP0018,H2 2023,3,Exceeds Expectations,FALSE
EMP0034,H2 2023,3,Exceeds Expectations,FALSE
EMP0224,Annual 2023,1,Meets Expectations,TRUE
EMP0201,H1 2023,3,Needs Improvement,FALSE
EMP0421,H2 2023,1,Meets Expectations,FALSE
EMP0250,H2 2023,3,Needs Improvement,FALSE
EMP0052,H1 2023,1,Exceeds Expectations,TRUE
EMP0089,H2 2023,1,Needs Improvement,FALSE
EMP0190,H2 2023,2,Exceeds Expectations,TRUE
EMP0081,H1 2023,4,Exceeds Expectations,TRUE
EMP0017,Annual 2023,1,Exceeds Expectations,TRUE
EMP0142,H2 2023,2,Exceeds Expectations,TRUE
EMP0385,Annual 2023,1,Exceeds Expectations,TRUE
EMP0473,H1 2023,3,Exceeds Expectations,TRUE
EMP0433,Annual 2023,4,Needs Improvement,FALSE
EMP0420,H2 2023,4,Meets Expectations,FALSE
EMP0108,H1 2023,1,Exceeds Expectations,TRUE
EMP0011,H1 2023,3,Exceeds Expectations,TRUE
EMP0013,H2 2023,1,Needs Improvement,FALSE
EMP0168,Annual 2023,3,Needs Improvement,FALSE
EMP0113,Annual 2023,2,Exceeds Expectations,TRUE
EMP0494,H1 2023,4,Needs Improvement,TRUE
EMP0175,Annual 2023,4,Exceeds Expectations,TRUE
EMP0423,H2 2023,3,Meets Expectations,TRUE
EMP0200,Annual 2023,2,Meets Expectations,FALSE
EMP0452,Annual 2023,1,Exceeds Expectations,FALSE
EMP0498,Annual 2023,1,Exceeds Expectations,FALSE
EMP0329,H2 2023,2,Meets Expectations,TRUE
EMP0261,Annual 2023,3,Meets Expectations,TRUE
EMP0042,Annual 2023,3,Needs Improvement,TRUE
